X,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
27,S22635608,Canada Goose,Branta canadensis,2015-04-01,04:30 PM,2,20,US-VT,43.7829965,-73.3154315,16,4,2015
37,S100948655,Canada Goose,Branta canadensis,2022-01-17,11:31 AM,4,223,US-OK,35.6222331,-95.1711273,69,1,2022
47,S36840484,Canada Goose,Branta canadensis,2017-05-13,08:08 AM,2,25,US-MO,38.7055395,-90.7048416,44,5,2017
57,S17345055,Canada Goose,Branta canadensis,2014-03-07,08:20 AM,38,55,US-MO,38.6389068,-90.2853806,276,3,2014
67,S17891506,Canada Goose,Branta canadensis,2014-04-14,09:00 AM,6,90,US-MO,38.6389068,-90.2853806,203,4,2014
77,S21095947,Canada Goose,Branta canadensis,2014-12-31,08:00 AM,134,120,US-MO,38.6389068,-90.2853806,322,12,2014
87,S22776681,Canada Goose,Branta canadensis,2015-04-09,06:20 PM,6,25,US-MO,38.6389068,-90.2853806,42,4,2015
97,S35811314,Canada Goose,Branta canadensis,2017-04-09,07:47 AM,2,74,US-MO,38.6389068,-90.2853806,51,4,2017
107,S38541052,Canada Goose,Branta canadensis,2017-08-08,07:05 AM,11,85,US-MO,38.6389068,-90.2853806,281,8,2017
117,S22239405,Canada Goose,Branta canadensis,2015-03-08,11:45 AM,4,120,US-MO,38.6129807,-90.2593803,75,3,2015
127,S38628943,Canada Goose,Branta canadensis,2017-08-13,03:48 PM,13,55,US-MO,38.5605873,-90.2872912,164,8,2017
137,S64885073,Canada Goose,Branta canadensis,2020-02-20,03:59 PM,12,93,US-OK,36.116064,-95.98525,200,2,2020
147,S82037948,Canada Goose,Branta canadensis,2021-02-20,05:15 PM,200,4,US-OK,35.9664503,-95.4937384,696,2,2021
315,S103266888,Mallard,Anas platyrhynchos,2022-02-20,02:05 PM,6,65,US-OK,36.2081998,-96.0600758,29,2,2022
325,S17223714,Mallard,Anas platyrhynchos,2014-02-27,08:40 AM,43,45,US-MO,38.6389068,-90.2853806,237,2,2014
335,S17701725,Mallard,Anas platyrhynchos,2014-04-01,06:30 PM,6,25,US-MO,38.6389068,-90.2853806,35,4,2014
345,S18164541,Mallard,Anas platyrhynchos,2014-05-01,08:30 AM,2,60,US-MO,38.6389068,-90.2853806,91,5,2014
355,S20070906,Mallard,Anas platyrhynchos,2014-10-08,07:45 AM,18,45,US-MO,38.6389068,-90.2853806,120,10,2014
365,S21350144,Mallard,Anas platyrhynchos,2015-01-14,02:30 AM,55,60,US-MO,38.6389068,-90.2853806,152,1,2015
375,S23261547,Mallard,Anas platyrhynchos,2015-05-05,07:00 PM,6,45,US-MO,38.6389068,-90.2853806,54,5,2015
385,S33809874,Mallard,Anas platyrhynchos,2017-01-20,04:26 PM,12,59,US-MO,38.6389068,-90.2853806,188,1,2017
395,S36840525,Mallard,Anas platyrhynchos,2017-05-13,06:00 PM,3,45,US-MO,38.6389068,-90.2853806,114,5,2017
405,S89715685,Mallard,Anas platyrhynchos,2021-06-06,08:01 AM,2,74,US-MO,38.6389068,-90.2853806,57,6,2021
415,S28837436,Mallard,Anas platyrhynchos,2016-04-09,09:15 AM,4,120,US-MO,38.6129807,-90.2593803,60,4,2016
425,S23175611,Mallard,Anas platyrhynchos,2015-05-02,06:50 AM,1,105,US-MO,38.6066358,-90.2582139,103,5,2015
435,S68187140,Mallard,Anas platyrhynchos,2020-05-01,10:02 AM,2,47,US-OK,36.1501278,-95.8943009,33,5,2020
682,S46841669,Mourning Dove,Zenaida macroura,2018-06-26,07:45 AM,2,120,US-VT,43.77954,-73.29591,61,6,2018
692,S1639717,Mourning Dove,Zenaida macroura,2004-03-21,05:30 PM,1,90,US-FL,26.9820604,-81.4920987,18,3,2004
702,S56506454,Mourning Dove,Zenaida macroura,2019-05-19,03:59 PM,1,66,US-OK,36.2081998,-96.0600758,47,5,2019
712,S38281523,Mourning Dove,Zenaida macroura,2017-07-23,08:50 AM,1,182,US-MO,38.6078608,-90.489826,70,7,2017
722,S17324171,Mourning Dove,Zenaida macroura,2014-03-05,08:20 AM,5,50,US-MO,38.6389068,-90.2853806,167,3,2014
732,S17841108,Mourning Dove,Zenaida macroura,2014-04-11,09:30 AM,3,60,US-MO,38.6389068,-90.2853806,103,4,2014
742,S18767759,Mourning Dove,Zenaida macroura,2014-06-12,08:30 AM,4,60,US-MO,38.6389068,-90.2853806,77,6,2014
752,S22360906,Mourning Dove,Zenaida macroura,2015-03-15,09:00 AM,1,120,US-MO,38.6389068,-90.2853806,157,3,2015
762,S24840940,Mourning Dove,Zenaida macroura,2015-08-30,07:00 AM,1,60,US-MO,38.6389068,-90.2853806,51,8,2015
772,S35959752,Mourning Dove,Zenaida macroura,2017-04-14,05:47 PM,2,88,US-MO,38.6389068,-90.2853806,53,4,2017
782,S42619189,Mourning Dove,Zenaida macroura,2018-02-09,12:43 PM,2,25,US-MO,38.6389068,-90.2853806,22,2,2018
792,S19893404,Mourning Dove,Zenaida macroura,2014-09-21,07:45 AM,4,120,US-MO,38.636316,-90.296545,149,9,2014
802,S23326412,Mourning Dove,Zenaida macroura,2015-05-09,07:00 AM,3,180,US-MO,38.6129807,-90.2593803,134,5,2015
812,S17365974,Mourning Dove,Zenaida macroura,2014-03-08,09:45 AM,12,45,US-MO,38.607414,-90.2825546,86,3,2014
822,S21381789,Mourning Dove,Zenaida macroura,2015-01-17,11:30 AM,12,90,US-MO,38.5708329,-90.3004558,253,1,2015
832,S67357157,Mourning Dove,Zenaida macroura,2020-04-17,11:15 AM,3,19,US-OK,36.1444029,-95.9092834,63,4,2020
842,S51186467,Mourning Dove,Zenaida macroura,2019-01-01,03:57 PM,3,75,US-OK,36.1189623,-95.9855793,79,1,2019
2040,S17083650,Red-bellied Woodpecker,Melanerpes carolinus,2014-02-16,03:00 PM,2,90,US-IA,43.0889962,-91.1856759,15,2,2014
2050,S18555256,Red-bellied Woodpecker,Melanerpes carolinus,2014-05-25,08:40 AM,3,300,US-MO,38.482151,-90.8242569,91,5,2014
2060,S100948655,Red-bellied Woodpecker,Melanerpes carolinus,2022-01-17,11:31 AM,2,223,US-OK,35.6222331,-95.1711273,69,1,2022
2070,S45094421,Red-bellied Woodpecker,Melanerpes carolinus,2018-04-29,09:15 AM,2,136,US-MO,38.5094049,-90.588381,34,4,2018
2080,S18164541,Red-bellied Woodpecker,Melanerpes carolinus,2014-05-01,08:30 AM,1,60,US-MO,38.6389068,-90.2853806,91,5,2014
2090,S33809874,Red-bellied Woodpecker,Melanerpes carolinus,2017-01-20,04:26 PM,1,59,US-MO,38.6389068,-90.2853806,188,1,2017
2100,S36636292,Red-bellied Woodpecker,Melanerpes carolinus,2017-05-07,07:34 AM,1,79,US-MO,38.6389068,-90.2853806,54,5,2017
2110,S17750325,Red-bellied Woodpecker,Melanerpes carolinus,2014-04-05,07:45 AM,1,120,US-MO,38.636316,-90.296545,126,4,2014
2120,S35453430,Red-bellied Woodpecker,Melanerpes carolinus,2017-03-26,04:06 PM,1,86,US-MO,38.6129807,-90.2593803,29,3,2017
2130,S37165903,Red-bellied Woodpecker,Melanerpes carolinus,2017-05-26,06:09 PM,2,69,US-MO,38.6066358,-90.2582139,79,5,2017
